artist,song,link,text
Neil Diamond,Be,/n/neil+diamond/be_20098757.html,"Lost  
On a painted sky  
Where the clouds are hung  
For the poet's eye  
You may find him  
If you may find him  
  
There  
On a distant shore  
By the wings of dreams  
Through an open door  
You may know him  
If you may  
  
Be  
As a page that aches for words  
Which speaks on a theme that's timeless  
While the Sun God will make for your day  
Sing  
As a song in search of a voice that is silent  
And the one God will make for your way  
  
And we dance  
To a whispered voice  
Overheard by the sould  
Undertook by the heart  
And you may know it  
If you may know it  
  
While the sand  
Would become the stone  
Which begat the spark  
Turned to living bone  
Holy, holy  
Sanctus, sanctus  
  
Be  
As a page that aches for word  
Which speaks on a theme that is timeless  
While the Sun God will make for your day  
Sing  
As a song in search of a voice that is silent  
And the one God will make for your day

"
The Temptations,The Way You Do The Things You Do,/t/temptations/the+way+you+do+the+things+you+do_20350360.html,"You've got a smile so bright  
You know, you could've been a candle  
I'm holding you so tight  
You know, you could've been a handle  
The way you swept me off my feet  
You know, you could've been a broom  
The way you smell so sweet  
You know, you could've been some perfume  
Well, you could've been anything  
That you wanted to and I can tell  
The way you do the things you do  
(The way you do the things you do,  
The way you do the things you do)  
As pretty as you are  
You know, you could've been a flower  
If good looks can cause a minute  
You know that you could be an hour  
The way you stole my heart  
You know, you could've been a cool crook  
And baby, you're so smart  
You know, you could've been a schoolbook  
Well, you could've been anything  
That you wanted to and I can tell  
The way you do the things you do  
(The way you do the things you do,  
The way you do the things you do)  
You made my life so rich  
You know, you could've been some money  
And baby, you're so sweet  
You know, you could've been some honey  
Well, you could've been anything  
That you wanted to and I can tell  
The way you do the things you do  
(The way you do the things you do)  
You really swept me off my feet  
(The way you do the things you do)  
You made my life complete  
(The way you do the things you do)  
You made my life so bright  
(The way you do the things you do)  
You make me feel all right...

"
David Guetta,Think About You,/d/david+guetta/think+about+you_21045186.html,"I close my eyes, and there you are  
I open my eyes, and there you are again  
I try to eat, the food don't taste the same  
It ain't my fault, but still I take the blame  
You, you, you  
In my mind I already know  
You, you, you  
But my heart don't wanna let it go  
  
I don't wanna think about you  
But I can't stop if I wanted to  
I don't wanna think about you  
But I can't stop if I wanted to  
I don't wanna think about you  
But I can't stop if I wanted to  
I don't wanna think about you  
But I can't stop if I wanted to  
I don't wanna think about you  
But I can't stop if I wanted to  
All I do is think about you  
But I can't stop if I wanted to  
All I do is think about you  
But I can't stop  
  
I close my eyes, and there you are  
I open my eyes, and there you are again  
I try to sleep, but dreams just ain't the same  
It ain't my fault, but still I take the blame  
You, you, you  
In my mind I gotta face it  
You, you, you  
But my heart is badly aching  
  
I don't wanna think about you  
But I can't stop if I wanted to  
I don't wanna think about you  
But I can't stop if I wanted to  
I don't wanna think about you  
But I can't stop if I wanted to  
I don't wanna think about you  
But I can't stop if I wanted to  
I don't wanna think about you  
But I can't stop if I wanted to  
All I do is think about you  
But I can't stop if I wanted to  
All I do is think about you  
But I can't stop

"
Heart,I Give Up,/h/heart/i+give+up_10141181.html,"I know you got a secret that you really don't want to show  
You hid something somebody did to you and you guard it like a lie  
And I know what I'm talking about  
Cause I've seen it leaking out  
But I'm with you baby now, and I'm not sneaking out  
Cause I know and I feel you're not showing me  
How can I change what you won't let me see  
  
[Chorus]  
I give up I give in  
You win this time  
Knowing you means let you go  
I give up I give in  
You win this time  
But don't belong  
Baby don't belong I love you I love you  
  
I know eves droppers might find out more than they might wanna know  
Yeah I know but I feel you're loving me  
How can I change what you won't let me see  
  
[Chorus]

"
Foreigner,Inside Information,/f/foreigner/inside+information_20054869.html,"One man to the left  
One man to the right  
One man in the middle  
One man dressed in white  
  
One man in the east  
One man from the west  
One man in the middle  
One man under house arrest  
(Step back)  
  
Get hooked on the power  
Gotta stay in the game  
be the man of the hour  
Gotta make a name for yourself  
  
And the lady waits, so patiently  
She waits for the call  
She knows just what you need  
  
You need inside, information  
Information at a very high price  
She gives you inside, information  
That can change your whole life overnight,  
In a minute  
  
One man to the left  
One man to the right  
One man in the middle  
Caught in the broad daylight  
  
Just a man on the street  
Another face in the crowd  
One man on the beat  
Wants everything that he's not allowed  
  
And the lady waits, so patiently  
She waits for the call  
She knows just what you need  
  
You need inside, information  
She can get it at a very high price  
A little, inside, information  
It can change your whole life overnight  
  
With a little inside, information  
You get money, you get power, you get it all  
Yeah but that inside, information  
Can leave you waiting for that hammer to fall  
(Let it fall)  
  
She gets that inside, information  
Information at a very high price  
With that inside, information  
It's danger with each roll of the dice  
  
You want that inside, information  
Take the money, take the power, take it all  
Take that inside, information  
But get ready 'cause the hammer will fall  
It's gonna fall  
  
Inside, information  
Inside, information  
  
Is she telling you straight  
Is she telling you straight  
Is she telling you straight

"
Christina Aguilera,Move It,/c/christina+aguilera/move+it_10064405.html,"This one  
Can you feel it, feel the groove  
Let the music take control and let your body move  
Just relax and listen to the sound  
Once the music takes you you will finally have found  
It will take you away to another state of mind  
Where peace you'll find inside the sound  
Just escape to a place  
Troubles seem to flow away when you get away  
Get this party going on, the feel of the rhythm  
Gotta, gotta make it strong, leave it going on  
If you wanna get away and ease your mind now  
Come on everybody stay and let the song take you away, yeah  
Alright  
Can you feel it, feel the groove  
Let the music take control and let your body move  
Just relax and listen to the sound  
Once the music takes you you will finally have found  
It will take you away to another state of mind  
Where peace you'll find inside the sound  
Just escape to a place  
Troubles seem to flow away when you get away  
Get this party going on, the feel of the rhythm  
Gotta, gotta make it strong, leave it going on  
If you wanna get away and ease your mind now  
Come on everybody stay and let the song take you away, yeah  
...  

"
Kelly Clarkson,Forever Part Of Me,/k/kelly+clarkson/forever+part+of+me_20621463.html,"I've been wonderin' if it's time  
To say what's on my mind  
'Cause I'm in the dark  
What was in your heart  
  
(What's in your heart)  
I don't even know your name  
But the thought of you remains  
Suddenly my pulse is jumping  
Do you feel the same  
  
Talk it over with my friends  
And I guess it all depends  
How you really feel, but can you comprehend  
You could be just around the corner now  
Hoping this love is yet to be found  
  
It's not too late to call my name  
So don't you look the other way  
Open your eyes and you'll see  
My heart won't wait, don't hesitate  
We got a chance, we've gotta take  
It feels like you could be  
Forever part of me  
  
Can be right under my skin (right under my skin)  
I don't know where to begin  
Would I look the fool  
Should I play it cool  
Or jump right in  
  
How am I supposed to know  
Whether I should come or go  
Think it's time we let our feelings show  
We might let the moment just pass us by  
Then it's gone in the blink of an eye  
  
It's not too late to call my name  
So don't you look the other way  
Open your eyes and you'll see  
My heart won't wait, don't hesitate  
We got a chance we've gotta take  
It feels like you could be  
Forever part of me

"
Hooverphonic,2 Wicky,/h/hooverphonic/2+wicky_20065963.html,"(Wah-wah)  
(Wah-wah)  
  
Prophet 60091, this is the flight number of our galactic sun.  
Prophet 60091, before we start you should know that you're not the only one
who can hurt me.  
  
SH10151, this is the serial number of our orbital gun.  
SH10151, you better be sure before you leave me for another one, you can hurt
me.  
I can hurt you.  
You can hurt.  
You can hurt me.  
I can hurt you.  
But you better be sure before you leave me for another one, I can hurt you.  
You can hurt me.  
But you better be sure before you leave me for another one...

"
The Jam,I Need You For Someone,/j/jam/i+need+you+for+someone_20936554.html,"I need you to keep me straight,  
When the world don't seem so great,  
And it's hard enough you know  
I need you to be around  
When my conscience brings me down  
And the world seems so obscure  
I want you to be the one  
Who tells me off when I do wrong,  
And you know I can be bad  
I need you, I need you  
Say you'll stay, make my day  
Now what have I done,  
Was it something I said - oh dear  
I need you to turn me off,  
When you think I've said enough,  
To the extent of being a bore  
I need you to tell me no  
Slap my wrists and send me home  
Tell me I can't come again  
Now why are you crying -  
Have I gone too far - again  
I need you keep me straight,  
when the world don't seem so great  
and its hard enough you know  
I need you, I need you  
Say you'll stay  
Make my day

"
Bonnie Raitt,Not Cause I Wanted To,/b/bonnie+raitt/not+cause+i+wanted+to_21014629.html,"Well I'm calling you  
'Cause you deserve to know  
You are not the reason that I had to go,  
Late at night in these hotel rooms  
I think of all I've lost,  
What I've put you through  
  
And if I knew the reason  
I would tell you why somehow  
The feeling slipped away  
I only did what I had to do  
Not 'cause I wanted to  
  
I've got a guilty heart  
And a troubled mind  
No matter where I go  
You're never far behind  
I'd like to think  
That you've forgiven me  
But forgiveness ain't enough  
To wash my conscience clean  
  
Oh and if I knew the reason  
I would tell you why somehow  
The feeling slipped away  
I only did what I had to do  
Not 'cause I wanted to  
  
I only did what I had to do  
Not 'cause I wanted to

"
Peter Cetera,Only Love Knows Why,/p/peter+cetera/only+love+knows+why_20107380.html,"One more sad tomorrow  
And I'm not very good at hiding my sorrow  
It's not the same without you  
So alone and so afraid  
I thought we had it made  
What about us, what about the way  
We were so in love, when we were together  
I thought you'd never leave  
Now I know this time you're gone forever  
  
[Chorus]  
Only love can break your heart  
Fill you with desire  
And tear you all apart  
Only love can make you cry  
Only love knows why  
  
One more night without you  
I'm just trying to pretend that you're coming back again  
You know I never meant to doubt you, oh no  
We were young and we were free  
Now I can't believe this has happened to me  
  
What about us, what about the way  
We were so in love, when we were together  
  
[Chorus]  
  
Gonna be a long hard road without you  
And there's one thing you should know  
Tell me who will I turn to  
When I get in trouble  
I really don't want you to go, no  
  
Tell me who can I turn to  
When I get in trouble  
Baby please don't leave me  
Can't you see you must believe me  
  
Only love can break your heart  
Fill you with desire  
And tear you down, the minute that you fall apart  
  
Only love can make you cry  
Only love knows why, oh no  
Only love can tear you down  
Only love knows why, oh no  
  
Only love will make you cry

"
Gino Vannelli,Father And Son,/g/gino+vannelli/father+and+son_20499776.html,"Once in a life there comes a man like you  
And you bear a son so much like yourself  
And it's hard to believe that he's a grown man  
But pop I understand  
  
Once every night I thank my lucky stars  
You've given me some guiding light  
But there comes a time when a father and a son  
Can no longer be as one  
  
It took me so long to recover  
From the pain of having denied the love I once relied upon  
It takes more than time to discover  
That for both the young and old  
The truth is sometimes cold but right  
  
This is my life  
And I've got to hold my own  
Even if it means hurting us both  
And the wrongs become right when  
We stop and wonder how  
Look at us  
We're better friends now

"
Overkill,Gasoline Dream,/o/overkill/gasoline+dream_20205640.html,"Wishful thinking, eyes are blinking,  
In the sun the garbage stinking.  
To ignore the rancid, won't make it go away.  
  
Untruth spoke through blistered lip,  
Unclean thoughts that take the step,  
Down upon the roaches,  
Won't go away.  
  
Born! to follow!  
To be the first to swallow,  
Garbage from the plate.  
Now! to borrow!  
A match, ignite the gasoline,  
To burn away.  
  
Surviving through a gasoline dream,  
In the month the razon blade gleam,  
Slashing up the tongue, won't make it go away.  
On a binge of self destruction,  
  
Children of the reconstruction,  
Suck the tit of discontent,  
Go away.  
  
Slam! slam down!  
Respond in kind malcontent,  
Don't go away.  
Burn! burn down!  
  
Temple of the conscience,  
Don't go away.  
  
I was soaked in gasoline,  
Playin' with a match.  
I was everything I seemed,  
They stood and watched.  
  
Ate from your table!  
Ate from your hand!  
Eight days of waiting!  
Buried in the sand!  
  
Burn in a gasoline dream, burn away my love.  
Burn away the conscience, burn away, my love.  
Take away my dignity, take away my pain,  
Take just for taking, we are one in the same...  
  
Burn... Burn...  
Burn in a gasoline dream, burn away my love.  
Burn away the conscience, burn away, my love.

"
Chicago,Anyway You Want,/c/chicago/anyway+you+want_20029926.html,"Anyway you want to be  
It's alright with me  
Anything you want  
It's alright with me  
  
Know that I love you  
Know that I need you  
Anyway you want  
It's alright with me  
  
Baby let me love you  
Do what I want to do  
Anyway you want  
It's alright with me  
  
Feels so good  
Know that I love you  
Know that I need you  
Anyway you want  
  
It's alright with me  
Anyway you want  
It's alright with me  
Anyway you want  
  
It's alright with me  
Anyway you want  
It's alright with me  
Anyway you want  
  
Woah now  
It's alright it's alright  
Baby now  
It's alright it's alright  
  
Baby let me love you  
Yeah yeah  
Yeah Yeah  
  
It's alright it's alright it's alright  
It's alright it's alright it's alright

"
Enrique Iglesias,Can You Hear Me,/e/enrique+iglesias/can+you+hear+me_20748728.html,"I am numb but I can still feel you  
Sometimes I'm blind but I see you  
You are here but so far away  
  
The times when you wanna, I'm missing you  
Makes me feel like I'm spinning  
Sometimes you get what you gain  
  
I'm on a coaster-collision  
Am not about to give in  
Can't explain my position or the condition that I'm in.  
  
Where I am is no limit, no walls, no ceilings  
No intermission, so let  
Let the party begin.  
  
[Chorus]  
Hey  
Hey  
Hey all the way  
DJ let it play.  
Hey hey can you hear me?  
Hey  
Hey  
Hey all the way  
DJ let it play.  
Hey hey can you hear me?  
  
Can you hear me? can you hear me? can you hear me? can you hear me?  
  
Don't you mean that you're my vision  
I gotta make a decision  
Do I go, do I stay? (stay)  
  
You've gotten into my system  
You are in control of my mental  
I'm in a euphoric state  
  
I'm on a coaster-collision  
Am not about to give in  
Can't explain my position or the condition that I'm in.  
  
Where I am is no limit, no walls, no ceilings  
No intermission, so let  
Let the party begin  
  
[Chorus]  
  
Can you hear me? [Repeats]  
  
[Repeat: x5]  
Hey  
Hey  
Hey all the way  
DJ let it play.  
Hey hey can you hear me?  
Can you hear me?  
  
Enrique, yea I can  
This is Mr Morales

"
Pat Benatar,I've Got Papers On You,/p/pat+benatar/ive+got+papers+on+you_20104932.html,"I've got papers on you baby  
You gotta do what I say  
I've got papers on you baby  
You gotta do what I say  
I mean business darlin', I'm too old to play  
I've got papers on you baby  
And I mean you're mine, all mine  
I've got papers on you baby  
And I mean you're mine, all mine  
If you do just what I tell you darlin'  
We're gonna get along real fine  
  
Now the red light means stop  
Green light means go  
Tell you something once  
I ain't gonna tell you no more  
  
I've got papers on you baby  
You gotta do what I say  
I got old baby, and I'm too old to play  
  
Well I see that you eat  
And I see that you got a place to stay  
I see that you eat  
And I see you got a place to stay  
But as long as live in this house  
I ain't gonna let you have your way  
  
I've got papers on you baby  
And I mean in black and white  
I've got papers on you  
And I mean in black and white  
  
Now I ain't hard to get along with  
But you just gotta treat me right

"
Quincy Punx,Cereal Killer,/q/quincy+punx/cereal+killer_20607658.html,"Wake in the morning my mind is all confused  
Don't no where to turn or what to do, pour myself  
A great big bowl of crispy bits of rice, the cereal  
That talks gives me some advice  
  
[Chorus]  
My rice krispies told me to kill you tonight  
My rice krispies never lie  
My rice krispies  
  
Told me so many things you see, like how the  
Phone company killed kennedy, how oprah is an  
Alien and nixon never lied, and by tommorow  
Morning you gotta die [chorus] this morning  
Breakfast message was so crystal clear  
It was so strange I couldn't believe my ears  
  
My cereal informed me your an agent for  
The feds, the CIA they want me dead  
  
[Chorus]  
  
Elvis is alive living in New Jersey  
That's right they gotta give me a lobotomy  
One day the aliens are gonna come for me  
I gotta kill you if I wanna be free

"
America,This Time,/a/america/this+time_20665281.html,"When the whistle blows  
And the goodbye hugs are over  
Then the train pulls out of the station and rolls towards the dawn  
With that old suitcase in hand and a surefire plan gone over  
This time it will work it can't go wrong  
Cause I've got all of our dreams mixed up with my schemes  
Rollin' around in my mind  
I know the sun's gonna shine  
Shine on me this time  
In a week or two  
I'll be writing to you with good news  
And I can just see your smile as you read about all that I've done  
Cause I've got all of our plans right here in my hands  
And things are gonna work out just fine  
Cause I know the sun's gonna shine  
Shine on me this time  
I've seen confusion in your eyes  
I've seen uncertainty and fear  
Keep on lookin' for tomorrow  
Soon it will be here  
This time, it's gonna be this time  
This time, it's gotta be this time  
This time, this time (it's never never)  
This time, this time (the day is coming)  
This time, this time (it's never never)  
This time, this time (the day is coming)  

"
Dolly Parton,How Great Thou Art,/d/dolly+parton/how+great+thou+art_20695137.html,"Oh Lord my God when I in awesome wonder  
Consider all the worlds Thy hands have made  
Now I see the stars and I hear the rolling thunder  
Thy art throughout the universe displayed  
Then sings my soul my Saviour God to Thee  
How great Thou art oh  
How great Thou art  
Then sings my soul my Saviour God to Thee  
How great Thou art  
How great Thou art  
When Christ shall come with shouts of acclamation  
To take me home what joy shall fill my heart  
Then I shall kneel in humble adoration and there proclaim my God  
How great Thou art  
Then sings my soul

"
John Denver,Don't Be Kind,/j/john+denver/dont+be+kind_20821819.html,"You've been sweet, you've been good  
I've been better than you ever cook  
I've been yours, you've been mine  
Don't be kind  
You got dreams, I've got plans  
I'll be gone before you understand  
I betrayed, you've been blind  
Don't be kind  
(Don't be kind)  
Shoot it straight as an arrow  
(Don't be kind)  
To the quick, to the marrow  
You can say what you've got on your mind  
Don't be kind  
We've been friends, we've been folks  
We've been lovers clinging so close  
We've believed but not this time  
Don't be kind  
When you hurt me, oh, you hurt me  
Then you feel you must be nice  
Well, it's bad enough to take it once  
Being kind makes it twice  
It's been great, it's been real  
It's been soft as silk and tough as steel  
You be yours and I'll be mine  
Don't be kind  
(Don't be kind)  
Shoot it straight as an arrow  
(Don't be kind)  
To the quick, to the marrow  
You can say what you've got on your mind  
Don't be kind  
Don't be kind  
You can say what you got on your mind  
(Don't be kind)  
Shoot it straight as an arrow  
(Don't be kind)  
To the quick, to the marrow  
You can say what you've got on your mind  
Don't be kind  
Don't be kind  
You can say what you've got on your mind  
Don't be kind  
Don't be kind  
You can say what you've got on your mind  
Don't be kind  
Don't be kind  

"
Beautiful South,Last Waltz,/b/beautiful+south/last+waltz_10026958.html,"Don't feel bad if you wake up feeling suddenly old  
More the realisation that you've let yourself be covered by mould  
Age is not something you wrap up if you're feeling the cold  
It's a laugh ten times harder at a joke eleven times told  
  
Down to the churchyard, check out the vaults  
Dig up the coffins, unscrew the bolts  
No better reminder, no strong enough salts  
To show this pitiful few that we've missed the last waltz  
  
Don't feel bad if you're feeling past you sell-by date  
Like the roller coaster ride slowed down to a serious debate  
Oh the weather you tell them you're ready or whether you wait  
Does someone place a hand on your shoulder you point the way to the gate  
  
Down to the churchyard, check out the vaults  
Dig up the coffins, unscrew the bolts  
No better reminder, no strong enough salts  
To show this pitiful few that we've missed the last waltz  
  
You don't count the birthdays 'til your out on your own  
They come thicker and faster and too damn late to postpone  
And wisdom's the last thing the scientists willing to clone  
Science advances, maturity dances alone

"
Kenny Rogers,727 East Magnolia Avenue,/k/kenny+rogers/727+east+magnolia+avenue_20496538.html,"You won't believe where I was today  
Something made my car go a different way  
Before I knew it  
I was back in time at our old address  
  
Sitting in the drive  
And I could see you in my football jersey raking leaves  
I could see me hanging lights on our first Christmas tree  
I could see us nail those numbers on the door that afternoon  
  
At 727 East Magnolia Avenue  
They added on where we thought we would  
You always said it would sure look good  
They cut down that tree we were afraid would fall  
  
Looks like they picked up right where we left off  
I could see you out there on the deck soaking up the sun  
I could see me chasing you around with a water gun  
I could see us there together  
  
Seemed the sky was always blue  
At 727 East Magnolia Avenue  
If I could make one wish  
Oh, I'd relive my life with you  
At 727 East Magnolia Avenue

"
Pretenders,No Guarantee,/p/pretenders/no+guarantee_20110724.html,"No guarantee  
Is what I'm getting today  
Appetite's so rampant  
And they're demanding money  
Everybody wants a good time  
Yeah, yeah, yeah  
And wild terms to agree  
No credit taken  
Oh, oh, oh, whoa, whoa, whoa, whoa  
No guarantee  
  
No guarantee  
When we kiss  
Your lips are tempting  
Well, baby, listen to this  
Gotta have some action  
Yeah, yeah, yeah  
You know I got to be free  
Contracts are binding  
Oh, oh, oh, whoa, whoa, whoa, whoa  
No guarantee  
  
Guarantee, my baby  
Guarantee, my love  
  
Guarantee me for a month of good Sundays  
Promise me every single one'll be fun days  
Give me a dime for every party revolution  
Launder my debts in paragorical solution  
Even the boss has been slandered and slagged  
Now he's sitting in the alley  
With a bottle in a paper bag  
  
No guarantee  
When we play  
Turn the house lights up, Bob  
Fellas look over day!  
This hall is empty  
Yeah, yeah, yeah  
Up to seventeen B  
But what's depressing  
Oh, oh, oh, whoa, whoa, whoa, whoa  
No guarantee  
  
Guarantee me  
Guarantee, baby  
Guarantee, my love  
Oh, guarantee when you're coming in me  
You got a rubber on, baby  
Guarantee when I love you for free  
I'm gonna pay one day  
Oh, guarantee  
When you sock it to me  
When you punch it to me  
When you hook it to me  
When you knock it to me  
When you talk it to me  
You guarantee, my love  
Oh!

"
Olivia Newton-John,Landslide,/o/olivia+newton+john/landslide_20103226.html,"Cold winds rarely blow  
Here at the end of the rainbow  
Guess it's hard to believe  
I'd be willing to leave  
Someone walked up behind me  
Seemed to find me  
I felt him standing there, I turned around and  
Saw the face of an angel, I fell  
It wasn't fair, it just wasn't fair  
He took my heart, it was a landslide  
You know it was a landslide  
My head was saying this is the man  
My heart agreed  
My minor desires turned to major needs  
My needs won't be denied  
It was a landslide  
Somehow I'm thrilled by all he says  
High on his campaign promises  
I don't wanna come down  
I don't wanna come down  
But no promises he made me could persuade me  
Like the loneliness that comes on when I  
Try to go on without him  
Try to doubt him  
I confess, I have to confess  
He took my heart, it was a landslide  
You know it was a landslide  
My head was saying this is the man  
My heart agreed  
My minor desires turned to major needs  
My needs won't be denied  
It was a landslide  
I'm in heaven when he's around  
In heaven when he's around  
And I'm hoping that he might be  
Feeling the same as me  
I'm in heaven, heaven  
It isn't hard to see  
He took my heart, it was a landslide  
You know it was a landslide  
My head was saying this is the man  
My heart agreed  
My minor desires turned to major needs  
My needs won't be denied  
It was a landslide  
I'm gonna tell everybody I see  
He's the only party for me  
It really was a, it really was a  
You know it was a landslide  
It really was a landslide  
My head was saying this is the man  
My heart agreed  
My minor desires turned to major needs-acapo  
  

"
Enigma,Sadeness (part 1),/e/enigma/sadeness+part+i_20050377.html,"Sade dit moi  
Sade donne moi  
Sade dit moi qu'est ce que tu vas chercher?  
Le bien par le mal  
La vertu par le vice  
Sade dit moi pourquoi l' 'evangile du mal?  
Quelle est ta religion ou' sont tes fide'les?  
Si tu es contre Dieu, tu es contre l'homme.  
Sade dit moi pourquoi le sang pour le plaisir?  
Le plaisir sans l'amour.  
N'y a t'il plus de sentiment dans le culte de l'homme?  
Sade es-tu diabolique ou divin?  
  
Sade, tell me...  
Sade, give me...  
Sade, tell me... What is it that you seek?  
The rightness of wrong, the virtue of vice...  
Sade, tell me... Why the Gospel of evil?  
What is your religion? Where are your faithful?  
If you are against God, you are against man...  
Sade, tell me... Why blood for pleasure? Pleasure without love?  
Is there no emotion in the cult of man?  
Sade, are you diabolical or divine?  
  
Sadeness (Extended Version lyrics in [])  
  
Sade dit moi  
Sade donne moi  
  
Sade dit moi...  
Qu'est ce que tu vas chercher?  
Le bien par le mal, la vertu par le vice?  
Sade dit moi...  
Pourquoi l' 'evangile du mal?  
Quelle est ta religion ou' sont tes fide'les?  
Si tu es contre Dieu, tu es contre l'homme.  
[Sade dit moi pourquoi le sang pour le plaisir?  
Le plaisir sans l'amour.  
N'y a t'il plus de sentiment dans le culte de l'homme?]  
Sade es-tu diabolique ou divin?  
  
Sade dit moi...  
Sade donne moi...  
Sade dit moi...  
Sade donne moi...  
  
[The prinicpals of lust]  
  
Sade dit moi...  
Sade donne moi...(x3 to fade)  
  
Sade, tell me...  
Sade, give me...  
  
Sade, tell me...  
What is it that you seek?  
The rightness of wrong, the virtue of vice...  
Sade, tell me...  
Why the Gospel of evil?  
What is your religion? Where are your faithful?  
If you are against God, you are against man...  
[Sade, tell me... Why blood for pleasure?  
Pleasure without love?  
Is there no emotion in the cult of man?]  
Sade, are you diabolical or divine?  
  
Sade, tell me...  
Sade, give me...  
Sade, tell me...  
Sade, give me...  
  
The principals of lust are easy to understand...  
Do what you feel, feel until the end.  
The principals of lust, are burned in your mind,  
Do what you want, do it until you find love.  
  
The principals of lust are easy to understand...  
Do what you feel, feel until the end.  
The principals of lust, are burned in your mind,  
Do what you want, do it until you find love.  
  
Sade dit moi...  
Sade donne moi... (Repeat until fade)...  
Sade dit moi...  
Sade donne moi...

"
Alan Parsons Project,(The System Of) Doctor Tarr And Professor Fether,/a/alan+parsons+project/the+system+of+doctor+tarr+and+professor+fether_20355153.html,"Just what you need to make you feel better  
Just what you need to make you feel  
Just what you need to make you feel better  
Just what you need to make you feel  
  
At the far end of your tether  
And your thoughts won't fit together  
So you sleep light or whatever  
And the night goes on forever  
The your mind change like the weather  
Your in need of Doctor Tarr and Professor Fether  
  
Even clouds seem bright and breezy  
'Cause the livin' is free and easy  
See the rat race in a new way  
Like you're walkin' up to a new day  
It's a wise thing if you're clever  
Take a lead from Doctor Tarr and Professor Fether  
  
Find the end of the rainbow  
Fly wherever the winds blow  
Laugh at life like a sideshow  
Just what you need to make you feel better  
  
Satisfaction altogether  
Guaranteed by Doctor Tarr and Professor Fether  
  
Find the end of the rainbow  
Fly wherever the winds blow  
Laugh at life like a slideshow  
Just what you need to make you feel better  
  
Don't stop bringin' the girls round  
Don't start havin' a showdown  
Keep on handin' the jug round  
All that you need is wine and good company

"
Elvis Presley,Girl Of Mine,/e/elvis+presley/girl+of+mine_20048808.html,"When your asleep beside me, I watch you lying there  
Your hand upon the pillow and moonlight in your hair  
I get the warmest feeling, so good I almost cry  
I kiss your sleeping lips and say I'll love you 'till I die  
Oh girl of mine you make my day  
One sunny smile and all the clouds just roll away  
Eyes deep as the sea seem to say to me  
Our love will always be  
So girl of mine turn out the light  
And in my arms together we'll make sweet love tonight  
Down life's golden road and you'll always know  
I love you ... girl of mine  
Sometimes I know I hurt you when things ain't goin' right  
I walk away and leave you to face the lonely night  
I wouldn't blame you darlin' if you walked out on me  
But I return to find you there still waiting patiently  
Oh girl of mine you make my day  
One sunny smile and all the clouds just roll away  
Eyes deep as the sea seem to say to me  
Our love will always be  
So girl of mine turn out the light  
And in my arms together we'll make sweet love tonight  
Down life's golden road and you'll always know  
I love you ... girl of mine  

"
Ella Fitzgerald,I Remember You,/e/ella+fitzgerald/i+remember+you_20045768.html,"Was it in Tahiti,were we on the Nile  
Long long ago say an hour ago  
I recall that I saw your smile  
I remember you-ooh  
You're the one who made my dreams come true  
A few kisses ago  
  
I remember you-ooh  
You're the one who said ""I love you, too""  
Yes, I do, didn't ya know?  
  
I remember, too, a distant bell and stars that fell  
Like the rain out of the blue  
  
When my life is through  
And the angels ask me to recall  
The thrill of it all  
Then I will tell them I remember you-ooh  
  
I remember, too, a distant bell and stars that fell  
Just like the rain out of the blue  
  
When my life is through  
And the angels ask me to recall  
The thrill of it all  
Then I will tell them I remember, tell them I remember  
Tell them I remember you

"
Frankie Laine,"Laura, What's He Got That I Ain't Got",/f/frankie+laine/laura+whats+he+got+that+i+aint+got_20846317.html,"Laura, hold these hands and count my fingers  
Laura, touch these lips you once desired  
Lay your head upon my chest, hear my heartbeat  
Gently run your fingers through my hair  
  
Mmm, touch these ears that listened to your wishes  
Most of them fulfilled, and that's a lot  
Let your soft gentle hands caress my body  
And then tell me what he's got that I ain't got  
  
Oh, yes tell me what he's got that I can't give you  
Well, it must be something I was born without  
You took an awful chance to be with another man  
So tell me what he's got that I ain't got  
  
Laura, see these walls that I built for you  
Laura, see this carpet that I laid  
See those fancy curtains on the windows  
Touch those satin pillows on your bed  
  
Laura, count the dresses in your closet  
Note the name upon the checkbook in your bag  
And if there's time before I pull this trigger  
Then tell me what he's got that I ain't got  
  
Oh, yes tell me what he's got that I can't give you  
Well, it must be something I was born without  
And if there's time before I pull this trigger  
Then tell me what he's got that I ain't got  
  
Laura, tell me what he's got that I ain't got  
  
Fade  
Laura, tell me what he's got

"
